Sequence Number,Main Plant Group,Family Name (English),Family (Scientific),Genus Name (English),Genus (Scientific),English Plant Name,English Alias,Scientific Name,Author,Distribution,Habitat,Life Form,Height,Morphology,Halophyte Type,Ecological Type,Maximum Salinity,Salinity Data Source,Photosynthetic Pathway,Uses,Literature Sources
355,III. Angiosperms,Poaceae,Poaceae,Digitaria,Digitaria,Digitaria longiflora,,Digitaria longiflora,(Retz.) Pers.,"Distributed in East China, South China and Southwest China; world tropical regions widely distributed.",Occurs in field margins grassland.,"Perennial grass, geophyte",Plant height 10–40 cm,"With long stolon; raceme 2–3, rachis with narrow wings, spikelets three in number clustered, covered with pubescent, long 1.2–1.4 mm, second lemma cartilaginous textured, without awn. Flowering and fruiting period April–October.",Salt-secreting halophyte,Hygrophytic or mesophytic,"Unknown, 200 mM (estimated value)",0,C4,"Forage, ecological use",Supplemented based on field surveys
356,III. Angiosperms,Poaceae,Poaceae,Digitaria,Digitaria,Digitaria mollicoma,,Digitaria mollicoma,(Kunth) Henrard,"Distributed in Anhui, Zhejiang, Jiangxi, Fujian and Taiwan; Southeast Asia and Oceania also found.",Occurs in arid sand dunes or seashore sandy land.,"Perennial grass, geophyte",Plant height 20–50 cm,"Entire plant (culms, nodes, leaf sheath and leaf blade both surfaces) densely covered pubescent; raceme 2–4, huborne on long about 2 cm main axis on, appearing umbel locule-shaped, spikelets long 2–2.2 mm, second glumes with 3–5 veins. Flowering and fruiting period September–October.",Salt-secreting halophyte,Mesophytic,"Unknown, 300 mM (estimated value)",0,C4,"Forage, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
357,III. Angiosperms,Poaceae,Poaceae,Digitaria,Digitaria,Digitaria ciliaris,,Digitaria ciliaris,Retz.) Koeler,Distributed in throughout China; worldwide widely distributed.,"Occurs in wasteland, barren slopes or sandy soil.",Annual grass,Plant height 30–100 cm,"Leaf blade wide 3–10 mm; raceme 4–10, appearing finger-like-shaped arranged on culms apex, paired borne spikelets same type, lanceolate, long 3–3.5 mm, first lemma veins among and margin with pubescent and warts base long bristles. Flowering and fruiting period June–October.",Salt-secreting halophyte,Mesophytic,300 mM,Salinity tolerance value from database,C4,"Forage, ecological use",eHALOPH
358,III. Angiosperms,Poaceae,Poaceae,Digitaria,Digitaria,Digitaria bicornis,,Digitaria bicornis,(Lam.) Roem. & Schult.,"Distributed in Fujian, Hainan and Yunnan; Southeast Asia, South Asia and Australia also found.",Occurs in riverbanks or beach sandy land.,Annual grass,Plant height 30–60 cm,"Raceme 5–7, long 4–10 cm, paired borne spikelets different type, short-stalked spikelets nearly glabrous, long about 3 mm, first lemma with 5–7 veins, long-stalked spikelets with filiform pubescent. Flowering and fruiting period May–September.",Salt-secreting halophyte,Mesophytic,160 mM (16 dS/m),Salinity tolerance value from database,C4,"Forage, ecological use","eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
359,III. Angiosperms,Poaceae,Poaceae,Digitaria,Digitaria,Digitaria heterantha,,Digitaria heterantha,(Hook.f.) Merr.,"Distributed in Fujian, Guangdong, Hainan and Taiwan; Southeast Asia also found.",Occurs in seashore sandy land.,Annual grass,Plant height 50–100 cm,"Raceme coarse stiff ting straight, 2 or 3, long up to 20 cm, paired borne spikelets different -like, spikelets long about 4 mm, first lemma with 7–9 strips conspicuous raised coarse veins. Flowering and fruiting period June–October.",Salt-secreting halophyte,Mesophytic,"Unknown, 300 mM (estimated value)",0,C4,"Forage, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
360,III. Angiosperms,Poaceae,Poaceae,Echinochloa,Echinochloa,Echinochloa colona,,Echinochloa colona,(L.) Link,Distributed in throughout China; world temperate regions widely distributed.,Occurs in fields or waterside wetlands.,Annual grass,Plant height 10–60 cm,"Leaf blade wide 3–7 mm; panicle narrow erect, inflorescence axis on without warts base long bristles, spikelets ovate orbicular, long 2–2.5 mm, with small stiff hairs, without awn, first glumes long about is spikelets 1/2. Flowering and fruiting period summer to autumn.",Salt-secreting halophyte,Hygrophytic or mesophytic,240 mM (24 dS/m),Salinity tolerance value from database,C4,Forage,eHALOPH
361,III. Angiosperms,Poaceae,Poaceae,Echinochloa,Echinochloa,Echinochloa crus-galli,,Echinochloa crus-galli,(L.) P.Beauv.,Throughout throughout China; worldwide warm-temperate zone and subtropical regions widely distributed.,Occurs in fields or waterside wetlands.,Annual grass,Plant height 20–40 cm,"Leaf blade wide 5–20 mm; panicle nearly pointed pyramidal shape, rachis rough or with warts base long spiny hairs, spikelets ovate, long 3–4 mm, second glumes etc. Long on spikelets, second lemma herbaceous, awn long 0.5–1.5 cm. Flowering and fruiting period summer to autumn.",Salt-secreting halophyte,Hygrophytic or mesophytic,200 mM,Salinity tolerance value from database,C4,Forage,eHALOPH
362,III. Angiosperms,Poaceae,Poaceae,Echinochloa,Echinochloa,Echinochloa crus-galli var. zelayensis,,Echinochloa crus-galli var. zelayensis,(Kunth) Hitchc.,"Native to the Americas, throughout China naturalized.","Occurs in wasteland, fields or waterside wetlands.",Annual grass,Plant height 50–75 cm,"Leaf blade wide 4–12 mm; panicle erect, long 11–19 cm, branched on not again branched; spikelets ovate-elliptic, long 3–4 mm, apex minutely mucronate and without awn, veins on without warts base hairs, but sparsely covered stiff spiny hairs. Flowering and fruiting period summer to autumn.",Salt-secreting halophyte,Hygrophytic or mesophytic,"Unknown, 250 mM (estimated value)",0,C4,Forage,Supplemented based on field surveys
363,III. Angiosperms,Poaceae,Poaceae,Echinochloa,Echinochloa,Echinochloa caudata,,Echinochloa caudata,Roshev.,"Distributed in Northeast China, North China, Northwest China, East China and Southwest China; northern Asia also found.",Occurs in open waterside wetlands or marshland.,Annual grass,Plant height 1–2 m,"Leaf blade wide 1–2 cm; panicle slightly pendulous, long 10–25 cm, spikelets ovate-elliptic, often band purple, long 3–4 mm, awn long 1.5–5 cm. Flowering and fruiting period summer to autumn.",Salt-secreting halophyte,Hygrophytic or mesophytic,"Unknown, 250 mM (estimated value)",0,C4,Forage,Supplemented based on field surveys
364,III. Angiosperms,Poaceae,Poaceae,Echinochloa,Echinochloa,Echinochloa frumentacea,,Echinochloa frumentacea,Link,"Native to Africa, throughout China introduced and cultivated.",Occurs in fields or waterside wetlands.,Annual grass,Plant height 100–150 cm,"Leaf blade wide 10–24 mm; panicle erect, branched slightly appearing arcuate-shaped curved, spikelets broad ovate, long 3–5 mm, green white, glabrous, without awn, second glumes slightly short on spikelets, valley grains not easily deciduous. Flowering and fruiting period August–September.",Salt-secreting halophyte,Hygrophytic or mesophytic,"Unknown, 200 mM (estimated value)",0,C4,"Forage, minor grain crop",Supplemented based on field surveys
365,III. Angiosperms,Poaceae,Poaceae,Stenotaphrum,Stenotaphrum,Stenotaphrum secundatum,,Stenotaphrum secundatum,(Walter) Kuntze,"Native to the Americas and Africa, southern China introduced and cultivated.","Occurs in wasteland, sandy beach or woodland.","Perennial grass, geophyte",Plant height 10–30 cm,"Stolon well developed; leaf blade apex obtuse round; spike-shaped panicle main axis round column-shaped, spikelets qianborne on flattened main axis one lateral concave xue inner, solitary, long 4–5 mm; fruit smooth. Flowering and fruiting period summer.",Salt-excluding halophyte,Mesophytic,300 mM,Salinity tolerance value from database,C4,Turfgrass,eHALOPH
366,III. Angiosperms,Poaceae,Poaceae,Setaria,Setaria,Setaria viridis,,Setaria viridis,(L.) P.Beauv.,Distributed in throughout China; worldwide widely distributed.,"Occurs in open wasteland, fields or sandy soil.",Annual grass,Plant height 20–100 cm,"Panicle constricted appearing cylindrical, spikelets 2–5 clusters borne on main axis on, long 2–2.5 mm, base long bristles green to purple brown, first glumes long about is spikelets 1/3, apex obtuse, second glumes several and spikelets etc. Long. Flowering and fruiting period May–October.",Salt-secreting halophyte,Mesophytic; psammophytic,250 mM; 200 mM,Salinity tolerance value from database,C4,Weed,eHALOPH
367,III. Angiosperms,Poaceae,Poaceae,Setaria,Setaria,Setaria pumila,,Setaria pumila,(Poir.) Roem. & Schult.,Distributed in throughout China; worldwide widely distributed.,"Occurs in fields, saline-alkaline sandy land or waterside wetlands.",Annual grass,Plant height 20–90 cm,"Inflorescence main axis on each branchlets only with 1 mature spikelets, spikelets long 3–4 mm, base bristles golden yellow, first glumes apex pointed, second glumes long is spikelets 1/2–2/3, first florets often with stamens, first palea etc. Wide on second florets. Flowering and fruiting period June–October.",Salt-secreting halophyte,Hygrophytic or mesophytic,"Unknown, 250 mM (estimated value)",0,C4,Forage,Supplemented based on field surveys
368,III. Angiosperms,Poaceae,Poaceae,Cenchrus,Cenchrus,Cenchrus clandestinus,,Cenchrus clandestinus,(Hochst. ex Chiov.) Morrone,"Native to Africa, Yunnan and Taiwan and elsewhere introduced and cultivated.",Occurs in open sandy soil.,"Perennial grass, geophyte",Plant height 4–5 cm,"Plant spreading ground borne long, with long stolon; leaf blade long 4–5 cm; inflorescence consisting of 2–4 spikelets gou forming, enclosing hidden in upper part leaf sheath in, only stigma, anthers exserted sheath outer, bristles short on spikelets, spikelets up to 15 mm, stigma feathery-shaped. Flowering period March–April.",Salt-secreting halophyte,Mesophytic; psammophytic,240 mM,Salinity tolerance value from database,C4,Turfgrass,eHALOPH
369,III. Angiosperms,Poaceae,Poaceae,Cenchrus,Cenchrus,Cenchrus alopecuroides,,Cenchrus alopecuroides,(L.) Thunb.,"Distributed in Northeast China, North China, South China and Southwest China and elsewhere; Asia southeastern part and Oceania also found.","Occurs in fields, wasteland or sandy soil.","Perennial grass, geophyte",Plant height 30–120 cm,"Plant dense tufted; leaf blade long up to 80 cm; panicle erect, constricted appearing spike-shaped cylindrical, spikelets peduncle long 1–3 mm, bristles rough, often band purple, long 1.5–3 cm, spikelets linear-lanceolate. Flowering and fruiting period summer to autumn.",Salt-secreting halophyte,Mesophytic; psammophytic,300 mM,Salinity tolerance value from database,C4,"Ornamental grass, forage",eHALOPH
370,III. Angiosperms,Poaceae,Poaceae,Cenchrus,Cenchrus,Cenchrus flaccidus,,Cenchrus flaccidus,(Griseb.) Morrone,"Distributed in Northeast China, North China and Northwest China; western Asia also found.","Occurs in dry slopes, dry grassland or sandy soil.","Perennial grass, geophyte",Plant height 20–90 cm,"With horizontally creeping rhizome; leaf blade long 10–25 cm; panicle compact, wide about 10 mm, spikelets peduncle inconspicuous, long 0.5–1 mm, bristles soft, long 8–15 mm, gray-green or purple. Flowering and fruiting period July–October.",Salt-secreting halophyte,Mesophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C4,Forage,Supplemented based on field surveys
371,III. Angiosperms,Poaceae,Poaceae,Cenchrus,Cenchrus,Cenchrus echinatus,,Cenchrus echinatus,L.,"Native to the Americas, China Hainan, Yunnan and Taiwan and elsewhere naturalized.",Occurs in hot band seashore sandy soil.,Annual grass,Plant height 20–100 cm,"Racemose panicle erect, rachis internodes long 2–4 mm, spiny bracts appearing subglobose cup-shaped, only consisting of 1 whorls inner layers bristles connate one half above and forming, outer layers free bristles 10–20, round column-shaped, large mostly long not exceeding inner layers flattened becoming bristles one half. Flowering and fruiting period entire year.",Salt-secreting halophyte,Mesophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,Invasive,Supplemented based on field surveys
372,III. Angiosperms,Poaceae,Poaceae,Cenchrus,Cenchrus,Cenchrus longispinus,,Cenchrus longispinus,(Hack.) Fern.,"Native to the Americas, China Northeast China and North China naturalized.","Occurs in dry steppe, riversides or seashore sandy soil.",Annual grass,Plant height 20–90 cm,"Spiny bracts slightly long subglobose, long 8–10 mm, consisting of several whorls inner layers bristles connate one half above and forming, bristles 45–75, outer layers bristles several, than inner layers bristles short and slender, inner layers bristles base wide 0.5–0.9 mm. Flowering and fruiting period summer to autumn.",Salt-secreting halophyte,Mesophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C4,Invasive,"Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
373,III. Angiosperms,Poaceae,Poaceae,Cenchrus,Cenchrus,Cenchrus tribuloides,,Cenchrus tribuloides,L.,"Native to United States, Beijing and Hebei and elsewhere naturalized.",Occurs in lakeshores or riversides sandy land.,Annual grass,Plant height 10–70 cm,"Spiny bracts ovate orbicular, long 9–16 mm, dense hairy, bristles 15–43, outer layers bristles often persistent in, flattened becoming or cylindrical, inner layers bristles base wide 1.2–3 mm, one half above connate. Flowering and fruiting period summer to autumn.",Salt-secreting halophyte,Mesophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,Invasive,Supplemented based on field surveys
374,III. Angiosperms,Poaceae,Poaceae,Spinifex,Spinifex,Spinifex littoreus,,Spinifex littoreus,(Burm.f.) Merr.,"Distributed in Fujian, Guangdong, Guangxi, Hainan and Taiwan; Southeast Asia and South Asia also found.",Occurs in coast sandy beach.,"Perennial grass, geophyte",Plant height 30–100 cm,"Culms textured hard, prostrate and broad spreading, up to several m; leaf blade linear, margin bent rolled appearing needle-like; flower single -like, dioecious, spikelets lanceolate, male inflorescence umbel-shaped, with bract, female inflorescence star-shaped awn-shaped. Flowering and fruiting period summer to autumn.",Salt-excluding halophyte,Hygrophytic,"Unknown, 300 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
375,III. Angiosperms,Poaceae,Poaceae,Pseudoraphis,Pseudoraphis,Pseudoraphis sordida,,Pseudoraphis sordida,(Thwaites) S.M.Phillips & S.L.Chen,"Distributed in North China, East China, South China and Southwest China; East Asia and South Asia also found.",Occurs in riversides saline-alkaline wetland.,"Perennial grass, geophyte",Plant height 10–20 cm,"Plant spreading ground man extending, much-branched; leaf blade short small, long 1–5 cm, wide 2–4 mm; panicle base enclosing hidden on leaf sheath inner, long 2–5 cm, branched mostly erect, only with 1 spikelets, first florets with stamens 2. Flowering and fruiting period autumn.",Salt-excluding halophyte,Hygrophytic,"Unknown, 300 mM (estimated value)",0,C4,Ecological use,Supplemented based on field surveys
376,III. Angiosperms,Poaceae,Poaceae,Thuarea,Thuarea,Thuarea involuta,,Thuarea involuta,(G.Forst.) R.Br. ex Sm.,"Distributed in Guangdong, Hainan and Taiwan; Asia, Oceania and Africa also found.",Occurs in coast sandy beach.,"Perennial grass, geophyte",Plant height 4–10 cm,"Spike single one terminal, its lower receptacle by with sheath spathe, spikelets lanceolate, sessile, single borne on flattened rachis one lateral, mature after rachis used as bell-shaped biao developing strips-shaped rolled curved and forming one hard tubercles-shaped gou zao. Flowering and fruiting period April–December.",Salt-excluding halophyte,Mesophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,Ecological use,"Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
